Epoch,Loss,Recall,Time
0,6921.342,0.04263910248372124,0:00:33.762957
1,1461.5724,0.11892085982651171,0:00:33.199405
2,857.8247,0.10733153666154663,0:00:33.781930
3,710.5624,0.09329532400443487,0:00:32.922285
4,597.92365,0.11431379203781739,0:00:33.059471
5,599.56464,0.09783217994081583,0:00:32.850067
6,550.2606,0.11450930741084235,0:00:32.663363
7,542.2966,0.10184689040539063,0:00:33.033470
8,508.2379,0.11543058931200832,0:00:32.802032
9,496.23523,0.10398087694505159,0:00:33.081925
10,472.10648,0.11713886144089167,0:00:33.011421
11,462.30405,0.10778703258144746,0:00:33.153825
12,448.05194,0.11696038840060276,0:00:32.788439
13,441.47226,0.11465810708696149,0:00:32.904027
14,435.6257,0.11695487039834726,0:00:32.757930
