Epoch,Loss,Recall,Time
0,3675.6829,0.043489115478204124,0:00:36.395627
1,2112.9434,0.11657578229849787,0:00:35.565874
2,1807.8062,0.10282025778318993,0:00:35.871029
3,1670.9126,0.08066635658872189,0:00:34.889659
4,1430.5376,0.09743796653949421,0:00:35.285594
5,1441.8811,0.08924502040231225,0:00:35.191849
6,1278.1027,0.09365267189093218,0:00:34.905612
7,1320.0695,0.0931269838902861,0:00:35.348459
8,1184.1777,0.09276025258560879,0:00:35.016292
9,1243.9677,0.09449808978175891,0:00:35.113056
10,1132.9706,0.09288931787733792,0:00:35.065186
11,1196.7943,0.09517580613921812,0:00:34.874698
12,1096.8445,0.09370447860608719,0:00:34.865719
13,1161.1461,0.09508988873953438,0:00:34.855735
14,1074.1289,0.0943404013898613,0:00:34.847768
