Epoch,Loss,Recall,Time
0,323572.34,0.036437031362451126,0:00:32.922523
1,178864.39,0.07494266202089969,0:00:33.009011
2,105577.99,0.11224787723729836,0:00:32.695717
3,120178.86,0.07874024276942258,0:00:33.035067
4,77305.04,0.11211966544875411,0:00:32.555190
5,103433.266,0.0858315639874469,0:00:32.780105
6,70440.66,0.10865351009378865,0:00:32.368886
7,94298.875,0.09220434536631522,0:00:32.685687
8,64107.434,0.10762239913793004,0:00:32.493775
9,88361.516,0.09133707857661663,0:00:32.370748
10,62692.453,0.09791106545017136,0:00:32.161027
11,78609.59,0.09035750377506538,0:00:32.400411
12,61389.75,0.09720368583370662,0:00:32.589536
13,74930.53,0.09028778772213243,0:00:33.051095
14,58991.254,0.0908485601273937,0:00:32.672070
