Epoch,Loss,Recall,Time
0,1765377200.0,0.04364841441040389,0:00:33.706564
1,1683249300.0,0.08440731595275695,0:00:33.573841
2,1592749000.0,0.0829074044840821,0:00:33.968345
3,1494117800.0,0.07895325415918907,0:00:34.285011
4,1407568100.0,0.08724221654263209,0:00:32.547649
5,1309297500.0,0.09085293416152185,0:00:33.144579
6,1218049800.0,0.09184365846448081,0:00:32.897552
7,1122966700.0,0.08883422157538479,0:00:33.528645
8,1015630500.0,0.09508933492138655,0:00:33.478521
9,930250400.0,0.09326546294598376,0:00:33.700234
10,822432060.0,0.0889201427141744,0:00:33.403927
11,748204860.0,0.08354968971579427,0:00:33.676930
12,660202560.0,0.09095354955548332,0:00:33.567472
13,575041900.0,0.08804604807755442,0:00:33.069268
14,515786980.0,0.09240187816828141,0:00:32.406199
