Epoch,Loss,Recall,Time
0,25612392.0,0.04308286113526454,0:00:36.395812
1,24722458.0,0.07726262033326999,0:00:34.822181
2,23733656.0,0.07171940953473967,0:00:35.423517
3,22779396.0,0.07584986937929682,0:00:34.589493
4,21812062.0,0.07890518131564565,0:00:35.176527
5,20805486.0,0.0867690954080622,0:00:34.604628
6,19774320.0,0.07544058000317834,0:00:34.461456
7,18680224.0,0.08480734185835218,0:00:34.708094
8,17654868.0,0.07958842929779493,0:00:34.673282
9,16640411.0,0.09040070555636533,0:00:35.697546
10,15675026.0,0.0834791715954876,0:00:42.891823
11,14823868.0,0.08621957742539922,0:00:34.965956
12,13840583.0,0.08356739630244382,0:00:34.353983
13,13018598.0,0.08960169032827026,0:00:34.626185
14,12501259.0,0.07954406488510896,0:00:37.693241
