Epoch,Loss,Recall,Time
0,650995700.0,0.04552918947964508,0:00:37.132753
1,98676240.0,0.06755088798696794,0:00:36.111673
2,38482084.0,0.09150142711050921,0:00:34.844853
3,28902638.0,0.07310822181334045,0:00:34.718637
4,23277966.0,0.09903659135971749,0:00:34.411701
5,20453358.0,0.0777037272773333,0:00:34.975246
6,17826472.0,0.09325127971853893,0:00:34.946992
7,15899086.0,0.07680664579159013,0:00:34.451507
8,14114822.0,0.09490912031887586,0:00:34.437265
9,10546301.0,0.07555716262881021,0:00:35.989053
10,9574954.0,0.08316153276300949,0:00:35.391127
11,8929728.0,0.07502375685690177,0:00:34.528156
12,7616190.5,0.08744401232992811,0:00:35.066060
13,6443284.5,0.07473893267187479,0:00:34.540492
14,5908899.0,0.07911062159223088,0:00:35.651594
