Epoch,Loss,Recall,Time
0,771.3091,0.04250558019061738,0:00:33.889372
1,205.00687,0.11963686326909787,0:00:33.231055
2,165.90598,0.10627913053028072,0:00:33.154297
3,149.16776,0.07601617469900712,0:00:33.485414
4,131.31438,0.11404884500180301,0:00:32.724449
5,134.49503,0.07900338874165275,0:00:32.651634
6,122.5916,0.1135449624649019,0:00:32.518002
7,124.97234,0.08005754373764973,0:00:32.997719
8,116.69926,0.113539538406474,0:00:32.953835
9,119.12506,0.08219924287764052,0:00:32.496067
10,111.93954,0.11357389791668272,0:00:33.039601
11,114.83573,0.0838393920511621,0:00:33.028646
12,108.91645,0.11279368518777584,0:00:32.201840
13,110.712006,0.08574902295000607,0:00:32.561885
14,106.10582,0.11350025057369333,0:00:32.712497
