Epoch,Loss,Recall,Time
0,123147.086,0.04238678269035899,0:00:36.256623
1,59666.46,0.12005558445921896,0:00:34.619216
2,43852.426,0.10587143053372881,0:00:35.510585
3,36580.324,0.0929236586127089,0:00:34.999147
4,34356.574,0.11359692261295963,0:00:34.570012
5,33902.758,0.09437450881259561,0:00:35.065020
6,33065.68,0.11398693313705482,0:00:35.183610
7,32746.35,0.09505247731320175,0:00:34.683126
8,32206.494,0.11456581067606733,0:00:34.724898
9,32023.244,0.09712834522222419,0:00:34.466235
10,31412.46,0.11583147635222228,0:00:34.474707
11,31146.9,0.09888038218883859,0:00:34.349219
12,30760.088,0.11580623456156439,0:00:34.432440
13,30349.963,0.10130134090907986,0:00:34.014721
14,29872.95,0.11578366974657656,0:00:34.227221
