Epoch,Loss,Recall,Time
0,258410.42,0.048353178950529964,0:00:35.715118
1,318756.5,0.08725275202823968,0:00:34.979729
2,140868.34,0.11639420847783764,0:00:35.009765
3,257873.16,0.08956278015445997,0:00:34.580483
4,103250.59,0.1157558819397411,0:00:33.387470
5,191453.69,0.09181820189102093,0:00:33.757821
6,93413.53,0.11161429283253002,0:00:33.379851
7,136710.9,0.09588042702087235,0:00:33.375947
8,83927.66,0.10687494281442474,0:00:33.856374
9,116033.125,0.09772539282532895,0:00:33.981579
10,75995.42,0.10724497200742357,0:00:33.608174
11,98456.83,0.0978201519354473,0:00:33.996512
12,71088.93,0.10334816853312528,0:00:33.665156
13,87739.96,0.100979940168933,0:00:33.434625
14,67868.52,0.10282814563119051,0:00:33.313655
