Epoch,Loss,Recall,Time
0,59682.234,0.03915925878144023,0:00:34.634055
1,48704.26,0.08322820795360404,0:00:34.730708
2,44710.44,0.12039730904254872,0:00:34.241348
3,41997.445,0.08566157656611378,0:00:34.725393
4,40365.336,0.11892264484213601,0:00:34.231518
5,38577.918,0.08952569556808081,0:00:34.462374
6,37122.74,0.10955653929452765,0:00:34.232477
7,35566.13,0.09402975972415499,0:00:33.432060
8,34125.61,0.10862228562147047,0:00:33.733329
9,32601.346,0.09429686441886566,0:00:33.959113
10,31117.355,0.10129297691810533,0:00:34.360918
11,29671.379,0.09447861247471355,0:00:34.434656
12,28178.178,0.1007795020725304,0:00:34.205973
13,26814.615,0.09502953847655059,0:00:34.122629
14,25423.717,0.09869983347721474,0:00:34.128048
