Epoch,Loss,Recall,Time
0,68017020.0,0.04338999329933026,0:00:34.537418
1,10479032.0,0.07501423538845882,0:00:34.144838
2,3324170.2,0.08924394992164827,0:00:32.879624
3,2308356.2,0.07784880251239873,0:00:33.000671
4,1962585.9,0.09188535339592163,0:00:32.470789
5,1684518.5,0.07858694848669301,0:00:32.375659
6,1445482.4,0.09081394146236414,0:00:32.714582
7,1368402.9,0.07879382512295313,0:00:32.290630
8,1289071.1,0.09466771968464596,0:00:32.551110
9,1179339.8,0.07721277607407338,0:00:32.594641
10,1103305.4,0.09039062790676122,0:00:32.206112
11,966848.75,0.07541735483092708,0:00:32.514830
12,840491.9,0.08740496504327713,0:00:32.511928
13,827372.25,0.072986021875711,0:00:32.138857
14,818579.25,0.08253979126161612,0:00:31.738488
